,125,176,227,278,329,380,431,482,533,584,610
615,178,1072,1821,1540,1230,1374,1354,1074,743,1489,2013
564,0,0,65,0,182,592,550,29,145,224,1152
513,222,383,830,1763,1508,1205,1974,2033,499,291,1053
462,0,23,378,1107,1769,602,911,1727,63,424,826
411,1,7,166,1380,1016,237,479,1600,245,584,1015
360,0,65,663,303,337,565,372,1791,53,130,1510
309,0,434,405,125,206,462,756,1486,0,0,1094
258,91,265,112,60,514,729,20,376,0,73,585
204,238,191,69,181,15,0,0,244,0,48,335
151,315,78,70,0,0,8,0,269,0,0,0
125,69,284,0,0,0,0,0,0,0,0,0
