147.0 131.0 , 344.0 486.0 ,  || 353 500
68.0 101.0 ,  || 335 500
92.0 40.0 , 68.0 49.0 ,  || 500 375
71.0 51.0 , 138.0 59.0 , 99.0 47.0 , 77.0 37.0 , 50.0 39.0 , 42.0 28.0 , 37.0 27.0 ,  || 500 406
61.0 128.0 , 88.0 108.0 , 62.0 130.0 , 54.0 105.0 , 35.0 34.0 ,  || 500 375
95.0 107.0 , 215.0 166.0 , 111.0 168.0 , 34.0 52.0 , 29.0 41.0 , 14.0 7.0 , 19.0 14.0 , 111.0 164.0 ,  || 500 375
359.0 280.0 ,  || 500 333
172.0 233.0 ,  || 500 375
201.0 158.0 , 79.0 143.0 , 42.0 130.0 , 39.0 131.0 ,  || 500 375
171.0 330.0 , 112.0 212.0 ,  || 354 480
204.0 257.0 ,  || 500 324
195.0 173.0 ,  || 500 333
147.0 92.0 ,  || 500 375
230.0 65.0 , 315.0 122.0 , 84.0 42.0 , 30.0 57.0 , 30.0 57.0 , 44.0 53.0 , 104.0 47.0 ,  || 500 333
283.0 222.0 ,  || 500 375
213.0 401.0 ,  || 334 500
94.0 137.0 , 313.0 258.0 ,  || 480 364
327.0 249.0 ,  || 380 285
252.0 168.0 , 255.0 146.0 ,  || 500 375
237.0 263.0 , 234.0 263.0 ,  || 500 335
150.0 146.0 , 245.0 355.0 , 304.0 494.0 ,  || 333 500
369.0 329.0 , 213.0 112.0 ,  || 500 333
203.0 188.0 ,  || 500 375
106.0 132.0 ,  || 332 500
444.0 311.0 , 48.0 60.0 ,  || 500 333
233.0 358.0 , 300.0 499.0 ,  || 375 500
178.0 96.0 ,  || 500 356
88.0 102.0 , 37.0 41.0 , 21.0 73.0 , 23.0 54.0 , 21.0 67.0 , 18.0 65.0 , 225.0 279.0 , 86.0 261.0 , 74.0 129.0 , 120.0 174.0 ,  || 500 375
148.0 237.0 , 322.0 244.0 , 50.0 134.0 ,  || 500 375
44.0 31.0 , 42.0 33.0 , 44.0 35.0 , 47.0 30.0 , 45.0 36.0 , 41.0 34.0 ,  || 500 333
389.0 250.0 ,  || 500 375
448.0 238.0 ,  || 500 375
66.0 90.0 , 54.0 80.0 , 18.0 51.0 , 20.0 48.0 ,  || 500 333
222.0 274.0 ,  || 500 334
252.0 305.0 ,  || 500 375
45.0 64.0 , 40.0 53.0 , 46.0 50.0 , 330.0 266.0 ,  || 500 375
54.0 45.0 , 96.0 65.0 , 218.0 290.0 , 43.0 84.0 , 46.0 79.0 , 64.0 103.0 ,  || 375 500
426.0 196.0 , 478.0 173.0 , 421.0 114.0 , 414.0 127.0 , 276.0 92.0 ,  || 500 334
51.0 79.0 , 55.0 102.0 , 39.0 20.0 , 51.0 102.0 , 59.0 111.0 , 138.0 99.0 , 176.0 99.0 ,  || 500 375
212.0 174.0 , 318.0 154.0 , 232.0 257.0 , 162.0 187.0 ,  || 500 330
48.0 42.0 , 50.0 39.0 , 28.0 28.0 ,  || 500 333
198.0 38.0 ,  || 333 500
377.0 358.0 ,  || 500 375
163.0 348.0 , 331.0 159.0 , 123.0 226.0 , 295.0 240.0 ,  || 500 374
153.0 213.0 , 274.0 222.0 , 276.0 124.0 ,  || 500 333
70.0 43.0 , 24.0 20.0 , 35.0 24.0 ,  || 500 375
411.0 267.0 ,  || 500 375
169.0 129.0 , 447.0 335.0 ,  || 500 339
484.0 332.0 , 143.0 107.0 ,  || 500 333
419.0 233.0 , 113.0 109.0 ,  || 500 323
174.0 356.0 , 190.0 391.0 ,  || 330 500
212.0 111.0 , 155.0 155.0 , 59.0 96.0 ,  || 500 375
248.0 92.0 ,  || 360 270
316.0 175.0 ,  || 500 375
429.0 175.0 ,  || 432 256
163.0 128.0 , 360.0 269.0 ,  || 500 333
84.0 139.0 , 231.0 140.0 ,  || 500 375
70.0 35.0 , 181.0 33.0 , 92.0 31.0 , 60.0 43.0 , 22.0 46.0 , 30.0 19.0 , 40.0 48.0 , 15.0 7.0 , 28.0 48.0 , 8.0 13.0 , 32.0 42.0 , 25.0 22.0 , 14.0 10.0 , 34.0 17.0 , 62.0 34.0 , 32.0 24.0 , 11.0 10.0 , 9.0 28.0 , 26.0 49.0 , 37.0 39.0 , 30.0 25.0 , 14.0 27.0 , 25.0 32.0 ,  || 500 215
89.0 79.0 , 96.0 92.0 , 103.0 103.0 , 58.0 149.0 , 303.0 354.0 ,  || 500 375
405.0 114.0 , 20.0 52.0 , 27.0 87.0 , 22.0 45.0 , 18.0 41.0 , 9.0 59.0 , 18.0 54.0 , 17.0 46.0 ,  || 500 367
185.0 298.0 , 83.0 258.0 , 66.0 292.0 , 65.0 362.0 , 198.0 461.0 , 82.0 468.0 ,  || 334 500
496.0 248.0 ,  || 500 375
474.0 167.0 , 48.0 28.0 , 42.0 33.0 ,  || 500 333
236.0 297.0 ,  || 500 421
333.0 482.0 , 203.0 273.0 , 53.0 100.0 , 95.0 46.0 ,  || 447 500
486.0 215.0 ,  || 500 371
124.0 65.0 ,  || 500 375
76.0 62.0 , 18.0 44.0 ,  || 500 375
68.0 52.0 , 9.0 30.0 , 13.0 37.0 ,  || 333 500
148.0 229.0 , 138.0 200.0 , 216.0 278.0 , 137.0 236.0 ,  || 500 332
148.0 151.0 , 114.0 157.0 , 97.0 161.0 ,  || 500 334
279.0 154.0 , 498.0 288.0 ,  || 500 401
393.0 346.0 ,  || 500 423
439.0 185.0 ,  || 500 375
330.0 287.0 ,  || 500 333
81.0 98.0 , 303.0 142.0 , 27.0 84.0 , 20.0 59.0 , 132.0 233.0 , 113.0 127.0 , 87.0 301.0 , 156.0 325.0 ,  || 500 333
328.0 203.0 , 77.0 156.0 ,  || 500 346
97.0 200.0 ,  || 374 500
32.0 41.0 , 37.0 35.0 , 29.0 25.0 , 20.0 22.0 , 25.0 26.0 , 29.0 32.0 , 30.0 37.0 ,  || 500 333
334.0 200.0 ,  || 500 360
237.0 359.0 ,  || 500 375
133.0 186.0 , 26.0 54.0 , 21.0 58.0 , 16.0 44.0 , 11.0 49.0 ,  || 500 333
222.0 128.0 , 371.0 391.0 ,  || 375 500
63.0 53.0 , 87.0 63.0 , 112.0 48.0 , 289.0 203.0 ,  || 500 333
121.0 44.0 , 28.0 14.0 , 71.0 11.0 , 61.0 13.0 ,  || 500 375
308.0 190.0 , 17.0 20.0 ,  || 500 333
40.0 73.0 , 46.0 95.0 , 82.0 131.0 , 48.0 82.0 , 57.0 88.0 , 78.0 109.0 ,  || 360 500
340.0 279.0 , 64.0 41.0 , 31.0 29.0 ,  || 500 375
246.0 62.0 , 366.0 231.0 ,  || 400 266
71.0 124.0 ,  || 500 375
52.0 76.0 , 497.0 317.0 ,  || 500 333
334.0 131.0 ,  || 500 375
74.0 72.0 , 113.0 226.0 ,  || 500 375
