,108,168,197,223,252,278,304,330,356,382,408,435,461,476
488,20,47,181,48,127,172,140,214,219,412,219,176,111,243
462,0,0,0,0,0,19,11,2,25,23,1,8,0,63
436,0,0,0,1,72,12,5,59,0,0,0,4,0,231
409,0,0,0,0,6,20,39,1,0,25,16,6,0,146
383,0,0,0,0,33,7,24,0,18,0,0,0,20,366
357,0,0,1,0,19,28,0,8,0,0,0,0,0,179
331,0,0,10,106,26,34,7,0,3,0,0,12,0,240
303,0,0,29,51,0,0,0,0,12,25,3,0,7,158
276,0,0,1,0,0,19,23,21,16,7,53,23,0,39
248,0,0,7,0,1,0,0,29,20,0,0,0,0,44
222,0,0,0,0,0,0,0,12,21,0,0,0,0,41
195,0,0,0,0,8,0,21,0,1,0,0,2,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,10
148,0,0,0,0,0,0,3,0,0,0,10,0,0,0
